language,date,century,language_family,region,terminal_speaker,notes
Mednyj Aleut,5 October 2022,21st,Mixed Aleut–Russian,"Commander Islands, Russia",Gennady Yakovlev[1],
Yahgan,16 February 2022,21st,Isolated,"Magallanes, Chile",Cristina Calderón[2],
Wukchumni dialect of Tule-Kaweah Yokuts,25 September 2021,21st,Yok-Utian (proposed),"California, United States",Marie Wilcox[3],
Bering Aleut,7 March 2021,21st,Eskimo Aleut,"Kamchatka Krai, Russia",Vera Timoshenko[4],
Juma,2 February 2021,21st,Kawahiva,"Rondônia, Brazil",Aruka Juma[5],
Tuscarora,2 December 2020,21st,Iroquoian,"North Carolina, United States",Kenneth Patterson[6],
Aka-Cari,4 April 2020,21st,Great Andamanese,"Andaman Islands, India",Licho[7],
Ngandi,23 March 2019,21st,Arnhem,"Northern Territory, Australia",C. W. Daniels[8][9],
Tehuelche,4 January 2019,21st,Chonan,"Patagonia, Argentina",Dora Manchado[10][11],
Mandan,9 December 2016,21st,Siouan,"North Dakota, United States",Edwin Benson[12],
Wichita,30 August 2016,21st,Caddoan,"Oklahoma, United States",Doris McLemore[13],
Gugu Thaypan,29 July 2016,21st,Pama-Nyungan,"Queensland, Australia",Tommy George[14],
Nuchatlaht dialect of Nuu-chah-nulth,11 February 2016,21st,Wakashan,"British Columbia, Canada",Alban Michael[15],
Whulshootseed,4 January 2016,21st,Salishan,"Washington, United States",Ellen Williams[16][17],
Klallam,4 February 2014,21st,Salishan,"Washington, United States",Hazel Sampson[18][19][notes 1],
Demushbo,By 2014,21st,Panoan,"Amazon Basin, Brazil",,
Livonian,5 June 2013,21st,Uralic > Finnic,Latvia,Grizelda Kristiņa[20][notes 2],Under a process of revival.[21]
Yurok,26 March 2013,21st,Algic,"California, United States",Archie Thompson[22],Under a process of revival.[23]
Sabüm,By 2013,21st,Mon–Khmer,"Perak, Malaysia",,2013 extinction is based on ISO changing it from living to extinct in 2013
Salchuq,By 2013,21st,Turkic,Iran,,
Cromarty dialect of Scots,2 October 2012,21st,Germanic,"Northern Scotland, United Kingdom",Bobby Hogg[24],
Upper Chinook,11 July 2012,21st,Chinookan,"Oregon, United States",Gladys Thompson[25],
Holikachuk,10 March 2012,21st,Na-Dene,"Alaska, United States","Wilson ""Tiny"" Deacon[26]",
Dhungaloo,ca. 2012,21st,Pama-Nyungan,"Queensland, Australia",Roy Hatfield[27],
Ngasa,ca. 2012,21st,Nilo-Saharan,Tanzania,,Most speakers have shifted to Chaga
Mardijker,by 2012,21st,Portuguese-based Creole,"Jakarta, Indonesia",Oma Mimi Abrahams[28],
Apiaká,10 April 2011,21st,Tupian,"Mato Grosso, Brazil",Pedrinho Kamassuri[29],
Lower Arrernte,2011,21st,Pama-Nyungan,"Northern Territory, Australia",Brownie Doolan Perrurle[30],
