language_en,language,notes,is_extinct
'Phags-pa,ꡖꡍꡂꡛ ꡌ,"Formerly Used in: the People's Republic of China , the Republic of India , Mongolia , and Greater Tibet",TRUE
Aari,Aari,Spoken in: Ethiopia,FALSE
Aasáx,Aasá,Spoken in: Tanzania,TRUE
Abaza,Aбаза бызшва,"Official language in: Karachay-Cherkessia, Russia",FALSE
Abellen,Ayta Abellen,"Spoken in: Tarlac, Philippines",FALSE
Abenaki,"Alnôba, Wôbanakiôdwawôgan",Formerly spoken by: the American/Canadian Abenaki Tribe,TRUE
Abkhaz,"Aҧсуа бызшәа, Aҧсшәа","Official language in: Abkhazia and the Autonomous Republic of Abkhazia, Georgia",FALSE
Abkhaz,Aҧсшәа,"Used in: the Republic of Abkhazia and the Autonomous Republic of Abkhazia, Georgia",FALSE
Abui,Abui,Spoken in: Indonesia,FALSE
Abure,ɔbule ɔyʋɛ,Spoken in: Côte d’Ivoire,FALSE
Acehnese,Aceh or Bahsa Acèh,Spoken in: Indonesia,FALSE
Achang,"Mönghsa, ŋa˨˩ʈʂhaŋ˨˩",Spoken in: China and Myanmar,FALSE
Achi,achi',Recognised Minority Language in: Guatemala,FALSE
Achumawi,Achomawi or Ajúmmááwí,Formerly spoken in: California,TRUE
Adai,Tenánat Hadéyas,"Formerly spoken in: Louisiana, United States",TRUE
Adangbe,Adangbe,Spoken in: Togo,FALSE
Adangme,Adangbɛ,Official language in: Ghana,FALSE
Adele,Gidire,Spoken in: Ghana and Togo,FALSE
Adioukrou,mɔjukru,Spoken in: Côte d’Ivoire,FALSE
Adnyamathanha,Yura Ngawarla,Spoken in: Australia,FALSE
Adyghe,Адыгабзэ,"Western Circassian language. Official language in: Adygea, Russia; Spoken also in: Turkey, Israel, Syria, Iraq, Germany, United States, Netherlands etc.",FALSE
Afade,afaë,Spoken in: Cameroon and Nigeria,FALSE
Afar,Qafár af,National Language in: Eritrea,FALSE
Afrihili,El-Afrihili,Proposed lingua franca of Africa,FALSE
Afrikaans,Afrikaans,Official language in: South Africa; Recognised Minority Language in: Botswana and Namibia,FALSE
Aghem,aghím,Spoken in: Cameroon,FALSE
Aghul,агъул чӀал,"Official language of: Dagestan, Russia",FALSE
Aguacateco,awakateko,Spoken in: Guatemala,FALSE
Ahtna,Atnakenaege,"Official language of: Alaska, United States",FALSE
