rank,country,nol_established,nol_immigrant,nol_total,nol_percent,nos_total,nos_mean,nos_median
1,Papua New Guinea,840,0,840,11.81,4213381,5040,1315
2,Indonesia,707,3,710,9.98,222191197,315165,3500
3,Nigeria,526,7,524,7.37,163317444,348225,14000
4,India,447,6,453,6.37,1257421714,2924237,35000
5,China,302,3,305,4.29,1319419348,4472608,27700
6,Mexico,287,5,292,4.11,125535200,435886,4730
7,Cameroon,274,1,275,3.87,10228065,38451,10000
8,Australia,226,93,319,4.49,22693732,72504,10
9,United States,219,116,335,4.71,326756719,999256,12
10,Brazil,217,11,228,3.21,204653402,934490,210
11,Democratic Republic of the Congo,212,2,214,3.01,42128230,209593,29450
12,Philippines,183,8,191,2.69,70776614,386757,19200
13,Malaysia,133,11,144,2.03,22242065,205945,3400
14,Chad,130,1,131,1.84,8865556,74500,14000
15,Tanzania,125,1,126,1.77,51108150,422381,102500
16,Nepal,131,0,131,1.81,29192480,212903,8385
17,Myanmar,120,6,126,1.77,49284095,397452,15000
18,Russia,115,44,159,2.24,138698335,900639,3900
19,Vanuatu,110,6,116,1.63,196298,1722,665
20,Vietnam,109,3,112,1.58,86884520,835428,14900
21,Canada,96,99,195,2.74,33362312,174672,260
22,Peru,93,1,94,1.32,30994201,336893,4635
23,Ethiopia,90,1,91,1.28,66766720,750188,48000
24,Côte d’Ivoire,86,15,101,1.42,18439310,209538,34150
25,Colombia,85,4,89,1.25,47673568,560866,885
26,Laos,85,7,92,1.29,6543480,76982,9710
27,Ghana,81,6,87,1.22,27661206,359236,36000
28,Iran,79,5,84,1.18,82927520,1256478,62000
29,Sudan,75,1,76,1.07,35091200,516047,13000
30,Pakistan,74,11,85,1.2,201998220,2524978,53250
31,Thailand,73,15,88,1.24,53357924,675417,8000
32,Central African Republic,72,11,83,1.17,3638143,47249,17350
33,Solomon Islands,72,0,72,1.01,379966,5352,2770
34,Burkina Faso,71,0,71,1,12472930,183425,20500
35,South Sudan,69,0,69,0.97,4504650,80440,27500
36,Mali,68,3,71,1,13027840,194445,25000
37,Kenya,67,5,72,1.01,37037960,544676,180000
